node.nameWithOwner,node.name,node.owner.login,node.createdAt,node.updatedAt,node.primaryLanguage.name,node.stargazers.totalCount,node.totalIssues.totalCount,node.closedIssues.totalCount,node.pullRequests.totalCount,node.releases.totalCount,node.primaryLanguage
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,2014-12-24T17:49:19Z,2024-03-10T21:52:42Z,TypeScript,384789,17704,17433,21847,0,
EbookFoundation/free-programming-books,free-programming-books,EbookFoundation,2013-10-11T06:50:37Z,2024-03-10T22:00:43Z,,314986,1066,1040,6441,0,
sindresorhus/awesome,awesome,sindresorhus,2014-07-11T13:42:37Z,2024-03-10T22:07:48Z,,293375,334,312,641,0,
public-apis/public-apis,public-apis,public-apis,2016-03-20T23:49:42Z,2024-03-10T22:13:58Z,Python,284892,561,548,1871,0,
jwasham/coding-interview-university,coding-interview-university,jwasham,2016-06-06T02:34:12Z,2024-03-10T22:01:38Z,,279655,414,369,397,0,
996icu/996.ICU,996.ICU,996icu,2019-03-26T07:31:14Z,2024-03-10T21:58:21Z,,268686,0,0,1066,0,
kamranahmedse/developer-roadmap,developer-roadmap,kamranahmedse,2017-03-15T13:45:52Z,2024-03-10T22:03:05Z,TypeScript,268376,1812,1069,1787,1,
codecrafters-io/build-your-own-x,build-your-own-x,codecrafters-io,2018-05-09T12:03:18Z,2024-03-10T22:06:18Z,,249340,603,426,133,0,
donnemartin/system-design-primer,system-design-primer,donnemartin,2017-02-26T16:15:28Z,2024-03-10T22:08:31Z,Python,248528,277,80,196,0,
facebook/react,react,facebook,2013-05-24T16:15:54Z,2024-03-10T22:13:30Z,JavaScript,219900,12733,11558,9741,99,
vuejs/vue,vue,vuejs,2013-07-29T03:24:51Z,2024-03-10T22:13:57Z,TypeScript,206536,10013,9657,1133,249,
vinta/awesome-python,awesome-python,vinta,2014-06-27T21:00:06Z,2024-03-10T22:06:51Z,Python,200473,0,0,540,0,
tensorflow/tensorflow,tensorflow,tensorflow,2015-11-07T01:19:20Z,2024-03-10T22:09:06Z,C++,181218,38820,36908,16530,204,
trekhleb/javascript-algorithms,javascript-algorithms,trekhleb,2018-03-24T07:47:04Z,2024-03-10T22:12:45Z,JavaScript,180716,339,215,288,0,
TheAlgorithms/Python,Python,TheAlgorithms,2016-07-16T09:44:01Z,2024-03-10T21:40:07Z,Python,176410,1441,1411,2724,0,
getify/You-Dont-Know-JS,You-Dont-Know-JS,getify,2013-11-16T02:37:24Z,2024-03-10T21:59:23Z,,175484,924,844,365,0,
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,2015-06-01T02:33:17Z,2024-03-10T22:11:40Z,,172069,804,804,2395,1,
CyC2018/CS-Notes,CS-Notes,CyC2018,2018-02-13T14:56:24Z,2024-03-10T21:33:55Z,,171147,576,446,375,0,
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,2009-08-28T18:15:37Z,2024-03-10T21:37:43Z,Shell,167443,4649,4523,3070,0,
torvalds/linux,linux,torvalds,2011-09-04T22:48:12Z,2024-03-10T22:03:55Z,C,167335,0,0,9,0,
twbs/bootstrap,bootstrap,twbs,2011-07-29T21:19:00Z,2024-03-10T20:48:50Z,JavaScript,167053,22307,21909,8651,89,
flutter/flutter,flutter,flutter,2015-03-06T22:54:58Z,2024-03-10T21:47:22Z,Dart,160588,92568,80308,36168,7,
ossu/computer-science,computer-science,ossu,2014-05-04T00:18:39Z,2024-03-10T21:18:29Z,,160128,628,612,253,0,
practical-tutorials/project-based-learning,project-based-learning,practical-tutorials,2017-04-12T05:07:46Z,2024-03-10T21:46:17Z,,159692,116,64,182,0,
Significant-Gravitas/AutoGPT,AutoGPT,Significant-Gravitas,2023-03-16T09:21:07Z,2024-03-10T21:47:42Z,JavaScript,158815,2166,2087,1525,20,
microsoft/vscode,vscode,microsoft,2015-09-03T20:23:38Z,2024-03-10T21:34:19Z,TypeScript,156884,172704,165193,23378,126,
github/gitignore,gitignore,github,2010-11-08T20:17:14Z,2024-03-10T22:05:51Z,,156363,0,0,1523,0,
jackfrued/Python-100-Days,Python-100-Days,jackfrued,2018-03-01T16:05:52Z,2024-03-10T21:34:01Z,Python,148189,629,107,13,0,
